Id,Compiled,Elements Compiled,Name,Entity,ObjectType,Material Descriptor,Layer Number,Layer Thickness [m],Length [m],Largest Surface Area [m^2],Volume [m^3],Global Warming Potential Manufacturing [kgCO2-eqv] (min),Global Warming Potential Manufacturing [kgCO2-eqv] (mean),Global Warming Potential Manufacturing [kgCO2-eqv] (max),Global Warming Potential Disposal [kgCO2-eqv] (min),Global Warming Potential Disposal [kgCO2-eqv] (mean),Global Warming Potential Disposal [kgCO2-eqv] (max),Global Warming Potential Total [kgCO2-eqv] (min),Global Warming Potential Total [kgCO2-eqv] (mean),Global Warming Potential Total [kgCO2-eqv] (max),Biogenic Carbon [kg C] (min),Biogenic Carbon [kg C] (mean),Biogenic Carbon [kg C] (max),UBP (Total) (min),UBP (Total) (mean),UBP (Total) (max),Total Renewable Primary Energy [kWh oil-eq] (min),Total Renewable Primary Energy [kWh oil-eq] (mean),Total Renewable Primary Energy [kWh oil-eq] (max),Total Non-Renewable Primary Energy [kWh oil-eq] (min),Total Non-Renewable Primary Energy [kWh oil-eq] (mean),Total Non-Renewable Primary Energy [kWh oil-eq] (max)
f9691ec733,True,3,Basic Wall:Wärmedämmung_Mineralwolle_130,IfcWall,Basic Wall:Wärmedämmung_Mineralwolle_130,"Wärmedämmung Mineralwolle, 0.035 W/mK",0,0.13,10.8,4.996,0.6223,29.8629,35.188,40.513,3.1683,3.1683,3.1683,33.0205,38.3455,43.6705,0.0,0.0,0.0,58869.58,65826.894,72784.208,88.3044,97.9376,107.5708,136.4704,154.6664,172.8625
f072382038,True,2,Basic Wall:Wärmedämmung_Mineralwolle_130 (2),IfcWallStandardCase,Basic Wall:Wärmedämmung_Mineralwolle_130,"Wärmedämmung Mineralwolle, 0.035 W/mK",0,0.13,8.325,2.6788,0.3483,16.7142,19.6946,22.675,1.7733,1.7733,1.7733,18.4815,21.4619,24.4423,0.0,0.0,0.0,32949.18,36843.174,40737.168,49.4238,54.8154,60.2071,76.3822,86.5665,96.7508
524838fce2,True,2,Basic Wall:Wärmedämmung_Mineralwolle_20,IfcWallStandardCase,Basic Wall:Wärmedämmung_Mineralwolle_20,"Wärmedämmung Mineralwolle, 0.035 W/mK",0,0.02,1.9515,5.4133,0.1081,5.1875,6.1125,7.0375,0.5504,0.5504,0.5504,5.736,6.661,7.586,0.0,0.0,0.0,10226.26,11434.818,12643.376,15.3394,17.0128,18.6862,23.7063,26.8671,30.028
c923413f81,True,2,Basic Wall:Wärmedämmung_Mineralwolle_90,IfcWallStandardCase,Basic Wall:Wärmedämmung_Mineralwolle_90,"Wärmedämmung Mineralwolle, 0.035 W/mK",0,0.09,20.986,10.228,0.92,34.776,47.3349,59.8938,1.9062,3.2951,4.6839,36.708,50.6349,64.5619,0.0,0.0,0.0,66332.0,86967.6,107603.2,10.2074,70.3777,130.548,189.658,222.6078,255.5576
c28b42ec07,True,73,BSH Stütze - rechteckig:KVH 60 x 60,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,Holz Brettschicht - C24 Cl.1,0,,153.27,9.1962,0.5536,49.5782,59.5425,69.5067,11.9571,11.9571,11.9571,61.4867,71.451,81.4152,108.3916,108.5131,108.6346,165503.7024,176197.04,186890.3776,1946.6735,1962.4705,1978.2675,291.6365,331.7365,371.8365
19942f0dfa,True,3,BSH Träger - rechteckig:Holz 140 x 240,IfcBeam,BSH Träger - rechteckig:Holz 140 x 240,Brettschichtholz C24,0,,15.357,3.6192,0.5053,45.2526,54.3475,63.4424,10.9139,10.9139,10.9139,56.1222,65.2171,74.3119,98.9347,99.0456,99.1565,151063.9827,160824.3575,170584.7323,1776.8319,1791.2506,1805.6693,266.192,302.7935,339.3949
32bb5170ae,True,2,Einlauf Contec Tube:DN75,IfcBuildingElementProxy,Einlauf Contec Tube:DN75,3D-Schnittmaterial,0,,0.54,0.1296,0.0006,1.3104,1.6477,1.9849,1.294,1.5227,1.7514,2.6099,3.1773,3.7447,0.0,0.0,0.0,3303.3,4253.73,5204.16,0.2337,0.3862,0.5388,12.3942,14.3286,16.263
448caec44f,True,7,"Fenster Forster Unico:Kippfenster mit Kettenantrieb, Sage Glas",IfcWindow,"Fenster Forster Unico:Kippfenster mit Kettenantrieb, Sage Glas",Unknown,0,,8.89,6.1341,0.363,249.6579,440.7351,631.8123,22.0828,37.9701,53.8574,271.7406,476.3128,680.8851,0.0,0.0,0.0,433680.87,784244.685,1134808.5,64.4081,143.5379,222.6678,1024.3947,1935.3086,2846.2224
81201c5ae7,True,4,"Fenster Forster Unico:Kippfenster mit Kettenantrieb, Sage Glas (2)",IfcWindow,"Fenster Forster Unico:Kippfenster mit Kettenantrieb, Sage Glas",<Unnamed>,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
734607c530,True,5,Floor:3-Schichplatte 19mm,IfcSlab,Floor:3-Schichplatte 19mm,3-Schicht-Platte,0,0.019,13.18,8.3574,0.1512,28.3564,28.3564,28.3564,3.7877,3.7877,3.7877,32.1235,32.1235,32.1235,29.6577,29.6577,29.6577,69178.536,69178.536,69178.536,910.9649,910.9649,910.9649,149.316,149.316,149.316
